"","X","model","prime_type","prop_passive","se_passive","n","train","reanalysis","sd","giveup"
"1",1,"ep","amv",0.0103920642418517,0.00127231042155557,6354,"train0.0","start","sduniform-0.2-0.5","giveup100"
"2",2,"ep","urc",0.10447028000655,0.00383749953466821,6354,"train0.0","start","sduniform-0.2-0.5","giveup100"
"3",3,"ep","prog_rrc",0.119410239792612,0.0040683581761206,6354,"train0.0","start","sduniform-0.2-0.5","giveup100"
"4",4,"ep","rrc",0.281220360417325,0.00564068681374237,6354,"train0.0","start","sduniform-0.2-0.5","giveup100"
"5",5,"wd","amv",0.00360866078588613,0.000848268645522755,4998,"train0.0","start","sduniform-0.2-0.5","giveup100"
"6",6,"wd","urc",0.061493411420205,0.00339844506396905,4998,"train0.0","start","sduniform-0.2-0.5","giveup100"
"7",7,"wd","prog_rrc",0.198320016390084,0.00564066310643024,4998,"train0.0","start","sduniform-0.2-0.5","giveup100"
"8",8,"wd","rrc",0.311347233360064,0.00655040369789442,4998,"train0.0","start","sduniform-0.2-0.5","giveup100"
"9",9,"wd2","amv",0.00255102040816327,0.000735085786315805,4710,"train0.0","start","sduniform-0.2-0.5","giveup100"
"10",10,"wd2","urc",0.0624860522204865,0.00352710528708795,4710,"train0.0","start","sduniform-0.2-0.5","giveup100"
"11",11,"wd2","prog_rrc",0.203732162458836,0.00586943920412863,4710,"train0.0","start","sduniform-0.2-0.5","giveup100"
"12",12,"wd2","rrc",0.316393791197108,0.00677723740133477,4710,"train0.0","start","sduniform-0.2-0.5","giveup100"
"13",13,"ep","amv",0.0115052732502397,0.00134819455793085,6258,"train0.0","start","sduniform-0.2-0.5","giveup1000"
"14",14,"ep","urc",0.112655800575264,0.00399705163778392,6258,"train0.0","start","sduniform-0.2-0.5","giveup1000"
"15",15,"ep","prog_rrc",0.0998721636305529,0.00379045415249476,6258,"train0.0","start","sduniform-0.2-0.5","giveup1000"
"16",16,"ep","rrc",0.232981783317354,0.00534417590200201,6258,"train0.0","start","sduniform-0.2-0.5","giveup1000"
"17",17,"wd","amv",0.00367647058823529,0.000865046380548658,4896,"train0.0","start","sduniform-0.2-0.5","giveup1000"
"18",18,"wd","urc",0.0657679738562092,0.00354289481516304,4896,"train0.0","start","sduniform-0.2-0.5","giveup1000"
"19",19,"wd","prog_rrc",0.16891339869281,0.00535523881112491,4896,"train0.0","start","sduniform-0.2-0.5","giveup1000"
"20",20,"wd","rrc",0.253676470588235,0.00621909673668545,4896,"train0.0","start","sduniform-0.2-0.5","giveup1000"
